Region,Station,Longitude,Latitude
AECI,WILMSBRG,-91.7329,38.9323
AECI,WRIGHT,-90.9926,38.7382
AECI,YATES,-92.6166,39.3337
AECI,_GAINES,-93.66,38.31
AECI,2BEARCK,-93.14,36.79
AECI,ANDERSON,-94.44,36.69
AECI,APPLETON,-93.93,38.3
AECI,ARCOLA,-93.88,37.59
AECI,ARNICA,-93.63,37.75
AECI,ASHGROVE,-93.56,37.31
AECI,AUSTIN3,-94.31,38.59
AECI,BENTONVL,-93.42,38.11
AECI,BILLINGS,-93.48,37.1
AECI,BLUWT_TP,-93.41,36.66
AECI,BOWERSML,-94.01,37.16
AECI,BRANSON,-93.2,36.64
AECI,BROWNSPG,-93.49,36.97
AECI,BTLFIELD,-93.37,37.12
AECI,BTLR_KMO,-94.33,38.27
AECI,BUFFALO,-93.1022,37.6215
AECI,BUTLER,-94.33,38.27
AECI,CAPEFAIR,-93.44,36.68
AECI,CASSVL,-93.55,36.72
AECI,CAVERNA,-94.23,36.63
AECI,CEDR_SPG,-93.96,37.84
AECI,CLARK,-94.16,37.8
AECI,CLEVCOV,-92.93,36.38
AECI,CLEVER,-93.43,37.07
AECI,CLINTON,-93.76,38.39
AECI,CLIQUOT,-93.48,37.7
AECI,COFMNBND,-92.9,38.16
AECI,COMPTON,-93.55,37.06
AECI,CRANE,-93.55,36.88
AECI,CREIGHTN,-94.05,38.49
AECI,CRSNT_HL,-94.36,38.43
AECI,DADEVL,-93.67,37.33
AECI,E_LYN_TP,-94.22,38.69
AECI,ELDORAD2,-94.03,37.84
AECI,ELKTON,-93.41,37.81
AECI,ELWOOD,-93.44,37.18
AECI,EUDORA,-93.46,37.46
AECI,FAIRGRVE,-93.15,37.4
AECI,FREEMAN2,-94.54,38.68
AECI,FRSTOE,-93.25,38.13
AECI,GOODMAN2,-94.42,36.78
AECI,GREENFLD,-93.79,37.44
AECI,GRETNA,-93.22,36.7
AECI,GRNVIEW,-92.83,38.25
AECI,J7,-92.83,38.25
AECI,JAMESVIL,-93.26,37.11
AECI,JANE,-94.3,36.56
AECI,JASPER,-94.37,37.43
AECI,JENKINS,-93.45,36.72
AECI,KIMBRLNG,-93.46,36.61
AECI,KNOBBY,-93.08,38.19
AECI,LADUE,-93.86,38.35
AECI,LAKE,-93.41,36.66
AECI,LEETON,-93.69,38.58
AECI,LOCKWOO2,-93.87,37.42
AECI,METZ,-94.43,37.94
AECI,MONT_TP,-91.439,38.9945
AECI,MORGAN,-93.62,37.49
AECI,MT_VRNON,-93.69,37.15
AECI,MT_ZION,-93.6,38.25
AECI,N_CASSVL,-93.55,36.72
AECI,NEOSHO,-94.42,36.86
AECI,NIXA1,-93.29,37.04
AECI,OSCEOLA,-93.68,38.03
AECI,PARADISE,-93.24,36.59
AECI,PECULIAR,-94.44,38.74
AECI,PIPER,-94.05,38.32
AECI,PLGAP,-94.28,38.17
AECI,PLSNT_HP,-93.3,37.47
AECI,POLK,-93.39,37.63
AECI,PURDY_TP,-93.6,36.83
AECI,REEDS,-94.13,37.15
AECI,REEDS_SP,-93.37,36.71
AECI,REEDS_SP,-93.3991,36.7293
AECI,RENO_HOL,-93.36,37.03
AECI,RIVERDAL,-93.31,37.01
AECI,ROARK_CK,-93.66,37.03
AECI,ROCKAWAY,-93.15,36.72
AECI,SARATOGA,-94.51,36.65
AECI,SELIGMAN,-93.77,36.52
AECI,SELMORE,-93.25,36.96
